SOV_A3,DFID priority,UN statistical
ZWE,1,Eastern Africa
ZMB,1,Eastern Africa
YEM,1,Western Asia
VNM,0,South-eastern Asia
VEN,0,South America
VAT,0,Southern Europe
VUT,0,Melanesia
UZB,0,Central Asia
URY,0,South America
FSM,0,Micronesia
MHL,0,Micronesia
US1,0,Micronesia
US1,0,Micronesia
US1,0,Polynesia
US1,0,Caribbean
US1,0,Northern America
GB1,0,Caribbean
GB1,0,Western Africa
GB1,0,Caribbean
GB1,0,South America
GB1,0,Caribbean
GB1,0,Northern America
GB1,0,Caribbean
GB1,0,Caribbean
GB1,0,Northern Europe
GB1,0,Northern Europe
GB1,0,Northern Europe
ARE,0,Western Asia
UKR,0,Eastern Europe
UGA,1,Eastern Africa
TKM,0,Central Asia
TUR,0,Western Asia
TUN,0,Northern Africa
TTO,0,Caribbean
TON,0,Polynesia
TGO,0,Western Africa
TLS,0,South-eastern Asia
THA,0,South-eastern Asia
TZA,1,Eastern Africa
TJK,1,Central Asia
TWN,0,Eastern Asia
SYR,1,Western Asia
CHE,0,Western Europe
SWE,0,Northern Europe
SWZ,0,Southern Africa
SUR,0,South America
SDN,1,Northern Africa
LKA,0,Southern Asia
ESP,0,Southern Europe
KOR,0,Eastern Asia
ZAF,0,Southern Africa
SOM,1,Eastern Africa
SLB,0,Melanesia
SVK,0,Eastern Europe
SVN,0,Southern Europe
SGP,0,South-eastern Asia
SLE,1,Western Africa
SYC,0,Eastern Africa
SRB,0,Southern Europe
SEN,0,Western Africa
SAU,0,Western Asia
STP,0,Middle Africa
SMR,0,Southern Europe
WSM,0,Polynesia
VCT,0,Caribbean
LCA,0,Caribbean
KNA,0,Caribbean
RWA,1,Eastern Africa
RUS,0,Eastern Europe
ROU,0,Eastern Europe
QAT,0,Western Asia
PRT,0,Southern Europe
POL,0,Eastern Europe
PHL,0,South-eastern Asia
PER,0,South America
PRY,0,South America
PNG,0,Melanesia
PAN,0,Central America
PLW,0,Micronesia
PAK,1,Southern Asia
OMN,0,Western Asia
NOR,0,Northern Europe
PRK,0,Eastern Asia
NGA,0,Western Africa
NER,0,Western Africa
NIC,0,Central America
NZ1,0,Australia and New Zealand
NZ1,0,Polynesia
NZ1,0,Polynesia
NL1,0,Western Europe
NL1,0,Caribbean
NL1,0,Caribbean
NPL,1,Southern Asia
NRU,0,Micronesia
NAM,0,Southern Africa
MOZ,1,Eastern Africa
MAR,0,Northern Africa
MNE,0,Southern Europe
MNG,0,Eastern Asia
MDA,0,Eastern Europe
MCO,0,Western Europe
MEX,0,Central America
MUS,0,Eastern Africa
MRT,0,Western Africa
MLT,0,Southern Europe
MLI,0,Western Africa
MDV,0,Southern Asia
MYS,0,South-eastern Asia
MWI,1,Eastern Africa
MDG,0,Eastern Africa
MKD,0,Southern Europe
LUX,0,Western Europe
LTU,0,Northern Europe
LIE,0,Western Europe
LBY,0,Northern Africa
LBR,1,Western Africa
LSO,0,Southern Africa
LBN,1,Western Asia
LVA,0,Northern Europe
LAO,0,South-eastern Asia
KGZ,1,Central Asia
KWT,0,Western Asia
KIR,0,Micronesia
KEN,1,Eastern Africa
KAZ,0,Central Asia
JOR,1,Western Asia
JPN,0,Eastern Asia
JAM,0,Caribbean
ITA,0,Southern Europe
IS1,0,Western Asia
IRL,0,Northern Europe
IRQ,1,Western Asia
IRN,0,Southern Asia
IDN,1,South-eastern Asia
IND,1,Southern Asia
ISL,0,Northern Europe
HUN,0,Eastern Europe
HND,0,Central America
HTI,0,Caribbean
GUY,0,South America
GNB,0,Western Africa
GIN,0,Western Africa
GTM,0,Central America
GRD,0,Caribbean
GRC,0,Southern Europe
GHA,1,Western Africa
DEU,0,Western Europe
GEO,0,Western Asia
GMB,0,Western Africa
GAB,0,Middle Africa
FR1,0,Western Europe
FR1,0,Northern America
FR1,0,Polynesia
FR1,0,Polynesia
FR1,0,Melanesia
FI1,0,Northern Europe
FJI,0,Melanesia
ETH,1,Eastern Africa
EST,0,Northern Europe
ERI,0,Eastern Africa
GNQ,0,Middle Africa
SLV,0,Central America
EGY,0,Northern Africa
ECU,0,South America
DOM,0,Caribbean
DMA,0,Caribbean
DJI,0,Eastern Africa
DN1,0,Northern America
DN1,0,Northern Europe
DN1,0,Northern Europe
CZE,0,Eastern Europe
CYP,0,Western Asia
CUB,0,Caribbean
HRV,0,Southern Europe
CIV,0,Western Africa
CRI,0,Central America
COD,1,Middle Africa
COG,0,Middle Africa
COM,0,Eastern Africa
COL,0,South America
CH1,0,Eastern Asia
CH1,0,Eastern Asia
CH1,0,Eastern Asia
CHL,0,South America
TCD,0,Middle Africa
CAF,0,Middle Africa
CPV,0,Western Africa
CAN,0,Northern America
CMR,0,Middle Africa
KHM,0,South-eastern Asia
MMR,1,South-eastern Asia
BDI,0,Eastern Africa
BFA,0,Western Africa
BGR,0,Eastern Europe
BRN,0,South-eastern Asia
BRA,0,South America
BWA,0,Southern Africa
BIH,0,Southern Europe
BOL,0,South America
BTN,0,Southern Asia
BEN,0,Western Africa
BLZ,0,Central America
BEL,0,Western Europe
BLR,0,Eastern Europe
BRB,0,Caribbean
BGD,1,Southern Asia
BHR,0,Western Asia
BHS,0,Caribbean
AZE,0,Western Asia
AUT,0,Western Europe
AU1,0,Australia and New Zealand
ARM,0,Western Asia
ARG,0,South America
ATG,0,Caribbean
AGO,0,Middle Africa
AND,0,Southern Europe
DZA,0,Northern Africa
ALB,0,Southern Europe
AFG,1,Southern Asia
ATA,0,Antartica
