topic_id,DFID region,score,share,total_score,total_share,deviation,id,title,top_words,Topic ID,Aggregated meta-topic,Aggregated topic,Topic,color,short_title
213167,Central and Eastern Asia,1.7198067430143258,0.0012279074368618794,60.59918110393669,0.012119433728380735,0.10131722854232224,213167,"Hurricane, Hurricanes","['hurrican', 'evacu', 'sandi', 'storm', 'katrina', 'new', 'recoveri', 'york', 'resid', 'damag']",213167,Exposure,Extreme precipitation & flooding,Hurricanes,#fbb4ae,Hurricane
213152,Central and Eastern Asia,1.5769498934935824,0.0011259105185187595,46.77409061189666,0.009354507454545972,0.1203602139385335,213152,"Food, Food insecurity","['food', 'insecur', 'secur', 'hunger', 'nutrit', 'agricultur', 'product', 'africa', 'price', 'countri']",213152,Health impact,Food & nutrition,Food insecurity,#fed9a6,Food
213173,Central and Eastern Asia,1.8984036066321228,0.0013554220066978654,40.38990663905842,0.008077713062953488,0.1677977412832583,213173,"Drought, Drought","['drought', 'impact', 'veget', 'sever', 'agricultur', 'index', 'vhi', 'shock', 'rural', 'region']",213173,Exposure,Drought,Drought,#fbb4ae,Drought
213143,Central and Eastern Asia,3.904303747944562,0.002787594377881156,66.21897851994918,0.013243355885570813,0.21049003001711644,213143,"Water, Drinking water quality","['water', 'drink', 'sourc', 'suppli', 'contamin', 'qualiti', 'groundwat', 'sanit', 'sampl', 'coli']",213143,Health impact,WASH,Drinking water quality,#fed9a6,Water
213151,Central and Eastern Asia,3.492987176235287,0.0024939226154242133,56.41497072831313,0.011282619444273546,0.22104110022872347,213151,"Farmer, Farmers & agriculture","['farmer', 'crop', 'agricultur', 'farm', 'product', 'percept', 'yield', 'pest', 'smallhold', 'rice']",213151,Health impact,Food & nutrition,Farmers & agriculture,#fed9a6,Farmer
213180,Central and Eastern Asia,1.5862899266539905,0.001132579114408842,25.299772013759384,0.005059786364736531,0.2238393150948413,213180,"Cholera, Cholera","['cholera', 'outbreak', 'epidem', 'nino', 'vibrio', 'rainfal', 'haiti', 'enso', 'bangladesh', 'sanit']",213180,Health impact,Infectious,Cholera,#fed9a6,Cholera
213139,Central and Eastern Asia,5.823677487188708,0.00415798863764808,81.46214503349711,0.01629188794501832,0.2552183425076586,213139,"Resilience, Community resilience","['communiti', 'resili', 'social', 'local', 'particip', 'interview', 'knowledg', 'build', 'resid', 'percept']",213139,Intervention option,Developing community resilience,Community resilience,#ccebc5,Resilience
213132,Central and Eastern Asia,3.227824361502538,0.0023046016969477012,40.88972486219442,0.008177673387848708,0.28181630491285375,213132,"Pollen, Pollen & allergies","['pollen', 'allergen', 'airborn', 'allergi', 'grass', 'grain', 'allerg', 'count', 'poacea', 'concentr']",213132,Health impact,Respiratory,Pollen & allergies,#fed9a6,Pollen
213126,Central and Eastern Asia,6.266108747709386,0.004473875662338615,76.53132476391538,0.015305756641011803,0.2923001957545083,213126,"Disaster, Natural disasters","['disast', 'natur', 'prepared', 'manag', 'respons', 'peopl', 'reduct', 'earthquak', 'emerg', 'affect']",213126,Intervention option,Disaster risk reduction,Disaster risk reduction,#ccebc5,Disaster
213172,Central and Eastern Asia,4.990275610098222,0.003562956453403682,53.75251133304815,0.010750145248952738,0.33143333144738485,213172,"Mental, Mental health & PTSD","['mental', 'ptsd', 'disord', 'depress', 'stress', 'posttraumat', 'psycholog', 'anxieti', 'survivor', 'health']",213172,Health impact,Mental health,Mental health & PTSD,#fed9a6,Mental
213137,Central and Eastern Asia,6.824059195844306,0.004872241064409597,72.67621615891672,0.01453476052517557,0.3352130264527178,213137,"Mosquito, Mosquito vector dynamics","['mosquito', 'vector', 'abund', 'speci', 'aed', 'aegypti', 'albopictus', 'popul', 'trap', 'densiti']",213137,Health impact,Infectious,Mosquito vector dynamics,#fed9a6,Mosquito
213184,Central and Eastern Asia,5.092619263333362,0.0036360277641387367,49.81261672038124,0.00996219249472123,0.3649826848924468,213184,"Injury, Occupational injury","['injuri', 'worker', 'occup', 'work', 'accid', 'workplac', 'safeti', 'wbgt', 'ill', 'workrel']",213184,Health impact,Occupational health & injury,Occupational injury,#fed9a6,Injury
213157,Central and Eastern Asia,5.049637993453003,0.0036053400016059782,47.965932484047656,0.009592867912907097,0.3758354680100446,213157,"Fire, Wildfires","['fire', 'wildfir', 'smoke', 'burn', 'forest', 'biomass', 'wildland', 'impact', 'qualiti', 'plume']",213157,Exposure,Drought,Wildfires,#fbb4ae,Fire
213127,Central and Eastern Asia,7.617730239319079,0.005438906232262403,72.18456023948877,0.014436432606808932,0.3767486317705073,213127,"Malaria, Malaria","['malaria', 'transmiss', 'falciparum', 'plasmodium', 'vivax', 'parasit', 'control', 'anophel', 'elimin', 'intervent']",213127,Health impact,Infectious,Malaria,#fed9a6,Malaria
213174,Central and Eastern Asia,3.3120224684182347,0.0023647174524367553,27.269731118605872,0.005453765101476527,0.43359356489272755,213174,"Spores, Fungal spores","['spore', 'fungal', 'airborn', 'alternaria', 'cladosporium', 'fungi', 'concentr', 'allergen', 'bioaerosol', 'type']",213174,Health impact,Respiratory,Fungal spores,#fed9a6,Spores
213169,Central and Eastern Asia,9.612174552709565,0.0068628993726350725,77.40548071907742,0.015480582026006443,0.44332308443609003,213169,"Adaptation, Adaptation","['adapt', 'strategi', 'plan', 'polici', 'capac', 'climat', 'chang', 'govern', 'develop', 'local']",213169,Intervention option,Policy & practice,Adaptation,#ccebc5,Adaptation
213187,Central and Eastern Asia,8.65353206408003,0.006178447909782435,66.47240247747139,0.013294038993864084,0.4647532561499272,213187,"Household, Rural households","['household', 'stove', 'rural', 'fuel', 'cook', 'survey', 'use', 'incom', 'shock', 'biomass']",213187,Mediating pathways,Geographic exposure,Rural households,#b3cde3,Household
213144,Central and Eastern Asia,18.58245402463014,0.013267498563236675,139.5712953315662,0.02791333205070796,0.47531045520236176,213144,"Public health, Public health","['health', 'public', 'review', 'impact', 'research', 'system', 'environment', 'literatur', 'care', 'outcom']",213144,Health impact,Health system demand,Public health ,#fed9a6,Public health
213164,Central and Eastern Asia,6.232425634633341,0.004449826596819635,46.02384840450523,0.009204463996085377,0.4834422296303325,213164,"Symptom, Symptoms","['symptom', 'depress', 'associ', 'respiratori', 'posttraumat', 'score', 'particip', 'report', 'parent', 'pts']",213164,Other,Methods,Symptoms,#bdbdbd,Symptom
213122,Central and Eastern Asia,19.86060148813056,0.014180070154325755,142.9098677048138,0.02858102435096494,0.4961358270508248,213122,"Climate change, General climate change","['climat', 'chang', 'impact', 'global', 'increas', 'human', 'mitig', 'futur', 'affect', 'consequ']",213122,Exposure,General climate change,General climate change,#fbb4ae,Climate change
213178,Central and Eastern Asia,7.6270439752467105,0.005445556052457004,54.35726863708769,0.010871092693036025,0.5009207635535482,213178,"Thermal stress, Thermal stress & comfort","['thermal', 'stress', 'comfort', 'index', 'indic', 'utci', 'pet', 'wbgt', 'condit', 'physiolog']",213178,Health impact,Chronic,Thermal stress & comfort,#fed9a6,Thermal stress
213158,Central and Eastern Asia,11.265850999955564,0.008043591107903947,78.70620371077726,0.015740717985102157,0.5110053502970338,213158,"Vulnerability, Vulnerability","['vulner', 'social', 'hazard', 'indic', 'index', 'popul', 'livelihood', 'capac', 'assess', 'econom']",213158,Mediating pathways,Social vulnerability,Vulnerability,#b3cde3,Vulnerability
213133,Central and Eastern Asia,12.038532381535582,0.008595270079172471,71.81708175693267,0.014362939351045193,0.5984339186495967,213133,"Flood, Floods","['flood', 'damag', 'river', 'flash', 'event', 'impact', 'peopl', 'fatal', 'area', 'dysenteri']",213133,Exposure,Extreme precipitation & flooding,Floods,#fbb4ae,Flood
213161,Central and Eastern Asia,12.077280465779562,0.008622935432271356,67.09987506349799,0.013419529343472639,0.6425661594805199,213161,"Patients, Patients","['patient', 'acut', 'medic', 'clinic', 'care', 'day', 'pressur', 'number', 'diabet', 'admit']",213161,Health impact,Health system demand,Patients,#fed9a6,Patients
213142,Central and Eastern Asia,14.582901966929159,0.010411898807208528,76.847227868478,0.015368935163734243,0.6774639034054402,213142,"Transmission, Transmission","['transmiss', 'outbreak', 'virus', 'wnv', 'epidem', 'zika', 'vector', 'spread', 'human', 'chikungunya']",213142,Health impact,Infectious,Transmission,#fed9a6,Transmission
213181,Central and Eastern Asia,9.764742185775429,0.006971829595188822,49.439581494319235,0.009887587927163528,0.7051092386279133,213181,"In-/out-door, Indoor/outdoor (pollution & heat)","['indoor', 'outdoor', 'home', 'build', 'hous', 'ventil', 'environ', 'school', 'humid', 'measur']",213181,Mediating pathways,Geographic exposure,Building design,#b3cde3,In-/out-door
213186,Central and Eastern Asia,18.470320765200007,0.013187437670503755,89.79804468455245,0.017959012509195547,0.7343075051454748,213186,"Rainfall, Monthly rainfall","['month', 'rainfal', 'period', 'correl', 'variabl', 'trend', 'mean', 'averag', 'precipit', 'maximum']",213186,Exposure,Precipitation variabilty,Montly rainfall,#fbb4ae,Rainfall
213188,Central and Eastern Asia,22.333201478389284,0.01594545683440229,108.28745837567492,0.021656772442978173,0.7362803887969153,213188,"Age & sex, Age & sex","['age', 'preval', 'group', 'year', 'women', 'among', 'older', 'adult', 'studi', 'particip']",213188,Mediating pathways,Demographic vulnerability,Age & Sex,#b3cde3,Age & sex
213190,Central and Eastern Asia,19.07542550267871,0.01361947028710355,90.91773989170672,0.01818294411374672,0.749024481508851,213190,"Energy, Energy policy & co-benefits","['energi', 'cost', 'polici', 'benefit', 'cobenefit', 'mitig', 'electr', 'reduc', 'reduct', 'econom']",213190,Intervention option,Mitigation co-benefits,Energy policy & co-benefits,#ccebc5,Energy
213153,Central and Eastern Asia,9.88138212755204,0.0070551081685078275,45.85873901566498,0.009171443214953851,0.7692473259829617,213153,"Ozone, Emissions (ozone)","['ozon', 'concentr', 'ppb', 'nox', 'tropospher', 'precursor', 'surfac', 'voc', 'groundlevel', 'nitrogen']",213153,Exposure,Emissions,Emissions (ozone),#fbb4ae,Ozone
213131,Central and Eastern Asia,18.168581262986482,0.012972001732560171,82.3526908903619,0.016469991201493773,0.7876143693011599,213131,"Heat stress, Heat stress","['heat', 'stress', 'heatrel', 'ill', 'extrem', 'worker', 'dure', 'wbgt', 'island', 'work']",213131,Health impact,Chronic,Heat stress,#fed9a6,Heat stress
213179,Central and Eastern Asia,16.070602246969813,0.01147408689613394,72.80364519362617,0.014560245485749277,0.7880421320755965,213179,"RCP, Greenhouse pathways","['scenario', 'project', 'rcp', 'futur', 'pathway', 'increas', 'simul', 'popul', 'global', 'model']",213179,Intervention option,Mitigation co-benefits,Greenhouse pathways,#ccebc5,RCP
213149,Central and Eastern Asia,19.016911754242038,0.01357769264717052,85.4803968727429,0.017095511624126414,0.7942255807079037,213149,"Extreme weather, Extreme weather events","['extrem', 'event', 'weather', 'precipit', 'frequenc', 'condit', 'increas', 'day', 'intens', 'impact']",213149,Exposure,Extreme precipitation & flooding,Extreme weather events,#fbb4ae,Extreme weather
213138,Central and Eastern Asia,28.01862451468696,0.020004734573795133,118.49610245605815,0.023698433454479754,0.8441374241981217,213138,"Model, Modelling & forecasting","['model', 'predict', 'forecast', 'use', 'data', 'variabl', 'develop', 'accuraci', 'error', 'estim']",213138,Other,Methods,Modeling & forecasting,#bdbdbd,Model
213146,Central and Eastern Asia,25.04814921336338,0.017883874931672327,104.6009780477548,0.020919500862549095,0.8548901357244492,213146,"Seasonality, Seasonality ","['season', 'winter', 'summer', 'variat', 'dure', 'pattern', 'spring', 'dri', 'peak', 'raini']",213146,Exposure,General seasonality & weather,Seasonality,#fbb4ae,Seasonality
213160,Central and Eastern Asia,14.568101288774281,0.010401331420581634,60.05113036504122,0.012009827220688139,0.866068364635945,213160,"RSV, Respiratory viruses","['infect', 'rsv', 'respiratori', 'virus', 'preval', 'rate', 'syncyti', 'detect', 'viral', 'tract']",213160,Health impact,Respiratory,Respiratory viruses,#fed9a6,RSV
213147,Central and Eastern Asia,11.201672728038073,0.007997769112093935,45.511175759487806,0.009101932872191383,0.8786890899326518,213147,"Birth, Birth & pregnancy","['birth', 'preterm', 'pregnanc', 'gestat', 'women', 'matern', 'weight', 'week', 'deliveri', 'trimest']",213147,Health impact,Maternal & child health,Birth & pregnancy,#fed9a6,Birth
213168,Central and Eastern Asia,29.523431591405714,0.021079136571607253,119.85115659249975,0.023969435281662947,0.8794173214307295,213168,"Spatial, Spatial analyses","['spatial', 'area', 'region', 'distribut', 'map', 'cluster', 'use', 'environment', 'geograph', 'data']",213168,Other,Methods,Spatial analyses,#bdbdbd,Spatial
213129,Central and Eastern Asia,23.67341232184383,0.016902340430960592,93.15580546361451,0.01863054236316836,0.9072382382369965,213129,"Urban, Urban areas","['urban', 'citi', 'uhi', 'area', 'island', 'green', 'rural', 'plan', 'land', 'space']",213129,Mediating pathways,Geographic exposure,Urban areas,#b3cde3,Urban
213162,Central and Eastern Asia,16.517612189107695,0.011793243007442273,63.38852402067381,0.012677283785251021,0.9302657578086831,213162,"Child, Child health","['children', 'child', 'age', 'school', 'childhood', 'parent', 'year', 'pneumonia', 'stunt', 'among']",213162,Health impact,Maternal & child health,Child health,#fed9a6,Child
213189,Central and Eastern Asia,6.860716310098841,0.004898413506976107,25.970416472194465,0.0051939108020844435,0.9431069753855329,213189,"Leptospirosis, Leptospirosis","['leptospirosi', 'leptospira', 'human', 'anim', 'rodent', 'serovar', 'dog', 'zoonot', 'outbreak', 'rainfal']",213189,Health impact,Infectious,Leptospirosis,#fed9a6,Leptospirosis
213134,Central and Eastern Asia,25.039873803193853,0.017877966455192906,94.70625358401307,0.01894062168935982,0.9438954406251683,213134,"Case, Case data","['case', 'report', 'number', 'year', 'occur', 'confirm', 'surveil', 'period', 'dure', 'fever']",213134,Other,Methods,Case data,#bdbdbd,Case
213141,Central and Eastern Asia,16.52878369806214,0.01180121924022648,61.206378268958005,0.012240869128455118,0.9640834418197782,213141,"Heatwave, Heatwaves","['heatwav', 'definit', 'dure', 'intens', 'day', 'durat', 'excess', 'period', 'warn', 'impact']",213141,Exposure,Heat,Heatwaves,#fbb4ae,Heatwave
213170,Central and Eastern Asia,30.026036884528846,0.021437986645744273,110.1009872376934,0.022019466170143255,0.9735924785866323,213170,"Risk, Risk assessment & risk perception","['risk', 'factor', 'percept', 'hazard', 'assess', 'high', 'relat', 'increas', 'map', 'higher']",213170,Other,Methods,Risk assessment & risk perception,#bdbdbd,Risk
213128,Central and Eastern Asia,19.53830686091357,0.01394995827040167,71.45369474470817,0.01429026436217273,0.9761861584120254,213128,"Dengue, Dengue","['dengu', 'fever', 'outbreak', 'denv', 'epidem', 'aed', 'control', 'vector', 'serotyp', 'aegypti']",213128,Health impact,Infectious,Dengue,#fed9a6,Dengue
213185,Central and Eastern Asia,26.559618168053582,0.018963033376415375,96.81799649953197,0.019362956246523434,0.979345980798781,213185,"Exposure, Exposure","['exposur', 'associ', 'estim', 'ambient', 'increas', 'person', 'shortterm', 'adjust', 'studi', 'use']",213185,Other,Methods,Exposure,#bdbdbd,Exposure
213135,Central and Eastern Asia,28.742788689517855,0.020521773234909627,99.01311957294723,0.01980196628146543,1.0363502766953971,213135,"Infectious, Infectious diseases general","['diseas', 'infecti', 'respiratori', 'cardiovascular', 'vectorborn', 'burden', 'heart', 'chronic', 'diarrheal', 'prevent']",213135,Health impact,Infectious,Infectious diseases general,#fed9a6,Infectious
