id,title,PY,wc__oecd,wosarticle__di,prediction,DOI,word,continent
1297966,Flood-induced mortality across the globe: Spatiotemporal pattern and influencing factors,2018.0,Natural Sciences,10.1016/j.scitotenv.2018.06.197,0.4103854727408744,[link](https://dx.doi.org/10.1016/j.scitotenv.2018.06.197),"China, India, Indonesia, USA, Australia",Asia
778675,Climate variability of heat wave and projection of warming scenario in Taiwan,2017.0,Natural Sciences,10.1007/s10584-017-2091-0,0.608174007663761,[link](https://dx.doi.org/10.1007/s10584-017-2091-0),"Taiwan, Taipei, Taichung, Kaohsiung",Asia
780075,Rural household vulnerability to climate risk in Uganda,2017.0,Natural Sciences,10.1007/s10113-016-1049-5,0.438403579164944,[link](https://dx.doi.org/10.1007/s10113-016-1049-5),Uganda,Africa
731826,"Understanding Perceptions of Climate Change, Priorities, and Decision-Making among Municipalities in Lima, Peru to Better Inform Adaptation and Mitigation Planning",2016.0,Natural Sciences,10.1371/journal.pone.0147201,0.6348242499314061,[link](https://dx.doi.org/10.1371/journal.pone.0147201),"Lima, Peru",South America
768809,"World air particulate matter: sources, distribution and health effects",2017.0,Natural Sciences,10.1007/s10311-017-0611-9,0.7977855780170403,[link](https://dx.doi.org/10.1007/s10311-017-0611-9),USA,North America
2266163,Short-term effects of ozone air pollution on hospital admissions for myocardial infarction: A time-stratified case-crossover study in Taipei,2017.0,,10.1080/15287394.2017.1321092,0.8763278717875512,[link](https://dx.doi.org/10.1080/15287394.2017.1321092),"Taipei, Taiwan",Asia
1629184,The Effect of Hurricane Sandy on Cardiovascular Events in New Jersey,2014.0,Medical and Health Sciences,10.1161/JAHA.114.001354,0.8224570270669285,[link](https://dx.doi.org/10.1161/JAHA.114.001354),New Jersey,North America
3305589,"The impact of weather and climate on pollen concentrations in Denver, Colorado, 2010-2018",2019.0,,10.1016/j.anai.2019.08.002,0.4724056965131818,[link](https://dx.doi.org/10.1016/j.anai.2019.08.002),"Denver, Colorado, United States",North America
3516290,Application of a degree-day model of West Nile virus transmission risk to the east coast of the United States of America,2013.0,,,0.39562591380464857,,"USA, South Carolina, Connecticut",North America
768950,The impact of energy consumption on environment and public health in China,2017.0,Natural Sciences,10.1007/s11069-017-2787-5,0.3532298343007096,[link](https://dx.doi.org/10.1007/s11069-017-2787-5),China,Asia
458249,The occurrence of melioidosis is related to different climatic conditions in distinct topographical areas of Taiwan,2014.0,,10.1017/S0950268813001271,0.4250177016048689,[link](https://dx.doi.org/10.1017/S0950268813001271),Taiwan,Asia
3426326,Premature mortality related to United States cross-state air pollution,2020.0,,10.1038/s41586-020-1983-8,0.8860000730441264,[link](https://dx.doi.org/10.1038/s41586-020-1983-8),United States,North America
1347595,"Associations between Environmental Quality and Mortality in the Contiguous United States, 2000-2005",2017.0,Natural Sciences,10.1289/EHP119,0.6384591790785132,[link](https://dx.doi.org/10.1289/EHP119),United States,North America
2508156,How resilient is the general population to heatwaves? A knowledge survey from the ENHANCE project in Brussels and Amsterdam.,2016.0,,,0.6956980885477431,,"Brussels, Amsterdam",Europe
477421,"The effect of heat waves on mortality and effect modifiers in four communities of Guangdong Province, China",2014.0,Natural Sciences,10.1016/j.scitotenv.2014.02.049,1.0,[link](https://dx.doi.org/10.1016/j.scitotenv.2014.02.049),"Guangdong, China",Asia
12629,"Impact of current policies on future air quality and health outcomes in Delhi, India",2013.0,Natural Sciences,10.1016/j.atmosenv.2013.04.052,1.0,[link](https://dx.doi.org/10.1016/j.atmosenv.2013.04.052),"Delhi, Delhi city",Asia
3743575,"Spatio-temporal factors related to dengue hemorrhagic fever in makassar city, 2010 – 2014",2018.0,,10.5958/0976-5506.2018.00596.X,0.8618908785847148,[link](https://dx.doi.org/10.5958/0976-5506.2018.00596.X),Makassar,Asia
2408688,"Summer Temperature and Spatial Variability of all-Cause Mortality in Surat City, India.",2017.0,,10.4103/0970-0218.205216,0.7590221995806521,[link](https://dx.doi.org/10.4103/0970-0218.205216),"India, Surat",Asia
3444505,"Pregnancy and Lifetime Exposure to Fine Particulate Matter and Infant Mortality in Massachusetts, 2001-2007",2017.0,,10.1093/aje/kwx015,0.7469767065408662,[link](https://dx.doi.org/10.1093/aje/kwx015),Massachusetts,North America
1498051,"Climatic, ecological and socioeconomic factors as predictors of Sindbis virus infections in Finland",2013.0,Medical and Health Sciences,10.1017/S095026881200249X,0.4917085665899888,[link](https://dx.doi.org/10.1017/S095026881200249X),Finland,Europe
