admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code,doc_id,word,country_predicted,country_conf,continent,lcount
Shandong,36.66833,116.99722,CHN,1805753,Jinan,P,PPLA,1061,Jinan,CHN,0.999810516834259,AS,5
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,1061,China,CHN,0.9997636675834656,AS,5
Manicaland,-19.0,32.41667,ZWE,887358,Manicaland Province,A,ADM1,5923,Manicaland,ZWE,0.9375070929527284,AF,10
Mashonaland East,-17.96667,31.66667,ZWE,886842,Mashonaland East Province,A,ADM1,5923,Mashonaland,ZWE,0.9375070929527284,AF,11
,39.6945,-8.13057,PRT,2264397,Portuguese Republic,A,PCLI,7057,Portugal,PRT,0.99957937002182,EU,8
,40.0,-4.0,ESP,2510769,Kingdom of Spain,A,PCLI,7057,Spain,ESP,0.9927052855491638,EU,5
,42.83333,12.83333,ITA,3175395,Repubblica Italiana,A,PCLI,7057,Italy,ITA,0.9927052855491638,EU,5
Île-de-France,46.0,2.0,FRA,3017382,Republic of France,A,PCLI,7057,France,FRA,0.9927052855491638,EU,6
,39.0,22.0,GRC,390903,Hellenic Republic,A,PCLI,7057,Greece,GRC,0.9927052855491638,EU,6
,35.00304000000001,32.98791,CYP,146670,Cyprus,T,ISL,7057,Cyprus,CYP,0.9999852180480956,AS,6
,39.0,35.0,TUR,298795,Republic of Turkey,A,PCLI,7057,Turkey,TUR,0.9927052855491638,AS,6
,41.99998,43.4999,GEO,614540,Georgia,A,PCLI,7057,Georgia,GEO,0.9927052855491638,AS,7
Texas,30.33469,-97.78195,USA,4737316,Travis County,A,ADM2,7896,Travis,USA,0.99310302734375,NA,6
Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1,7896,Texas,USA,0.9971505999565125,NA,5
,27.98791,86.92529,NPL,1283416,Mount Everest,T,MT,10055,Mount Everest,NPL,0.981339991092682,AS,12
,29.0,83.0,NPL,1252569,Great Himalaya Range,T,MTS,10055,Himalaya,NPL,0.93927663564682,AS,8
,28.0,84.0,NPL,1282988,Federal Democratic Republic of Nepal,A,PCLI,10055,Nepal,NPL,0.999810516834259,AS,5
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,10156,China,CHN,0.9999991655349731,AS,5
Hubei,30.58333,114.26667,CHN,1791247,Wuhan,P,PPLA,10865,Wuhan,CHN,0.9999812841415404,AS,5
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,10865,China,CHN,0.999981164932251,AS,5
